protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,decoded_output,correct_value,match,computation_outcomes_count
FK12,malicious,0.1,circuit5463.qasm,5,0,0,✓,"{'111': 7, '011': 53, '100': 37, '000': 3}"
FK12,malicious,0.1,circuit8843.qasm,8,1,1,✓,"{'000': 22, '111': 9, '100': 50, '011': 19}"
FK12,malicious,0.1,circuit3966.qasm,9,1,1,✓,"{'101': 54, '001': 43, '100': 1, '000': 2}"
FK12,malicious,0.1,circuit2875.qasm,5,None,1,✗,"{'001': 18, '011': 25, '101': 18, '111': 22, '000': 2, '010': 5, '100': 6, '110': 4}"
FK12,malicious,0.1,circuit5231.qasm,7,None,0,✗,"{'101': 34, '001': 49, '000': 11, '100': 6}"
FK12,malicious,0.1,circuit6764.qasm,6,0,0,✓,"{'000': 59, '100': 24, '111': 10, '011': 7}"
FK12,malicious,0.1,circuit9797.qasm,7,0,0,✓,"{'000': 58, '110': 27, '010': 7, '100': 8}"
FK12,malicious,0.1,circuit3874.qasm,6,1,1,✓,"{'110': 51, '000': 8, '001': 15, '101': 4, '010': 15, '111': 2, '011': 2, '100': 3}"
FK12,malicious,0.1,circuit9941.qasm,4,None,0,✗,"{'100': 24, '001': 11, '110': 4, '010': 29, '111': 19, '011': 8, '101': 4, '000': 1}"
FK12,malicious,0.1,circuit2569.qasm,6,1,1,✓,"{'111': 53, '000': 17, '001': 16, '101': 2, '011': 7, '100': 2, '010': 1, '110': 2}"
FK12,malicious,0.1,circuit8872.qasm,2,None,0,✗,"{'110': 32, '000': 45, '010': 11, '100': 12}"
FK12,malicious,0.1,circuit0970.qasm,5,None,0,✗,"{'010': 32, '110': 20, '000': 23, '111': 4, '001': 7, '101': 2, '100': 11, '011': 1}"
FK12,malicious,0.1,circuit0389.qasm,6,1,1,✓,"{'110': 52, '100': 6, '000': 33, '011': 3, '010': 6}"
FK12,malicious,0.1,circuit9534.qasm,9,None,1,✗,"{'101': 23, '000': 20, '100': 18, '110': 10, '001': 13, '011': 3, '111': 12, '010': 1}"
FK12,malicious,0.1,circuit7354.qasm,3,None,1,✗,"{'110': 44, '010': 48, '111': 6, '011': 2}"
FK12,malicious,0.1,circuit6467.qasm,5,None,1,✗,"{'111': 15, '110': 11, '100': 14, '011': 8, '101': 13, '001': 14, '010': 16, '000': 9}"
FK12,malicious,0.1,circuit0874.qasm,3,None,0,✗,"{'001': 27, '000': 26, '110': 8, '100': 12, '111': 15, '011': 2, '101': 10}"
FK12,malicious,0.1,circuit2595.qasm,8,0,0,✓,"{'011': 53, '100': 11, '111': 20, '000': 7, '010': 4, '101': 5}"
FK12,malicious,0.1,circuit0736.qasm,7,None,0,✗,"{'011': 21, '010': 7, '101': 12, '111': 8, '000': 30, '110': 11, '100': 8, '001': 3}"
FK12,malicious,0.1,circuit7844.qasm,6,None,1,✗,"{'010': 6, '000': 16, '110': 39, '011': 16, '101': 19, '001': 2, '100': 2}"
FK12,malicious,0.1,circuit9496.qasm,3,None,1,✗,"{'110': 6, '111': 48, '011': 6, '000': 20, '101': 2, '001': 17, '100': 1}"
FK12,malicious,0.1,circuit7404.qasm,6,1,1,✓,"{'011': 19, '000': 23, '111': 51, '100': 7}"
FK12,malicious,0.1,circuit1761.qasm,7,1,1,✓,"{'001': 11, '011': 31, '101': 52, '111': 6}"
FK12,malicious,0.1,circuit0614.qasm,7,1,1,✓,"{'000': 5, '101': 7, '110': 52, '111': 6, '010': 15, '001': 15}"
FK12,malicious,0.1,circuit3217.qasm,5,1,1,✓,"{'000': 6, '111': 50, '011': 31, '100': 6, '010': 3, '101': 1, '110': 3}"
FK12,malicious,0.1,circuit6682.qasm,6,1,1,✓,"{'000': 19, '111': 55, '100': 8, '011': 18}"
FK12,malicious,0.1,circuit4894.qasm,3,0,0,✓,"{'110': 27, '101': 19, '010': 51, '001': 3}"
FK12,malicious,0.1,circuit9992.qasm,3,None,0,✗,"{'101': 15, '000': 13, '100': 14, '011': 14, '111': 5, '010': 16, '001': 8, '110': 15}"
FK12,malicious,0.1,circuit7338.qasm,7,None,1,✗,"{'000': 6, '100': 24, '111': 27, '001': 4, '010': 20, '110': 6, '011': 12, '101': 1}"
FK12,malicious,0.1,circuit1233.qasm,2,None,0,✗,"{'110': 12, '011': 26, '010': 17, '101': 6, '111': 17, '100': 18, '000': 2, '001': 2}"
FK12,malicious,0.1,circuit9978.qasm,5,None,1,✗,"{'001': 29, '111': 43, '100': 8, '011': 8, '101': 5, '010': 6, '000': 1}"
FK12,malicious,0.1,circuit1952.qasm,3,None,1,✗,"{'110': 12, '011': 36, '010': 16, '111': 36}"
FK12,malicious,0.1,circuit8928.qasm,4,None,0,✗,"{'111': 16, '110': 23, '101': 8, '001': 44, '000': 6, '011': 1, '100': 1, '010': 1}"
FK12,malicious,0.1,circuit8080.qasm,9,None,1,✗,"{'101': 5, '111': 25, '001': 12, '110': 25, '010': 14, '011': 11, '000': 7, '100': 1}"
FK12,malicious,0.1,circuit5723.qasm,3,None,1,✗,"{'101': 29, '111': 24, '011': 11, '001': 19, '010': 10, '110': 3, '000': 3, '100': 1}"
FK12,malicious,0.1,circuit4013.qasm,1,None,0,✗,"{'010': 18, '001': 15, '100': 7, '000': 17, '011': 16, '111': 7, '110': 9, '101': 11}"
FK12,malicious,0.1,circuit3926.qasm,7,None,0,✗,"{'011': 47, '111': 37, '000': 16}"
FK12,malicious,0.1,circuit6073.qasm,5,1,1,✓,"{'101': 55, '111': 2, '001': 24, '110': 6, '010': 5, '011': 6, '100': 1, '000': 1}"
FK12,malicious,0.1,circuit2622.qasm,8,None,0,✗,"{'001': 39, '010': 7, '101': 21, '110': 6, '111': 13, '011': 4, '100': 7, '000': 3}"
FK12,malicious,0.1,circuit4617.qasm,3,None,1,✗,"{'000': 10, '100': 22, '011': 11, '110': 3, '001': 7, '101': 33, '111': 7, '010': 7}"
FK12,malicious,0.1,circuit4460.qasm,6,None,0,✗,"{'100': 22, '000': 49, '111': 19, '011': 10}"
FK12,malicious,0.1,circuit3513.qasm,6,None,1,✗,"{'000': 16, '111': 26, '101': 9, '011': 14, '100': 17, '001': 7, '010': 4, '110': 7}"
FK12,malicious,0.1,circuit5351.qasm,7,None,0,✗,"{'010': 39, '110': 20, '011': 12, '101': 11, '111': 4, '100': 6, '001': 5, '000': 3}"
FK12,malicious,0.1,circuit5990.qasm,4,None,1,✗,"{'001': 14, '110': 44, '111': 9, '010': 17, '011': 5, '101': 9, '000': 1, '100': 1}"
FK12,malicious,0.1,circuit3406.qasm,4,None,0,✗,"{'101': 15, '111': 6, '010': 22, '001': 22, '000': 10, '110': 13, '011': 6, '100': 6}"
FK12,malicious,0.1,circuit7046.qasm,6,0,0,✓,"{'101': 13, '011': 51, '111': 17, '110': 1, '100': 12, '001': 4, '000': 1, '010': 1}"
FK12,malicious,0.1,circuit5794.qasm,4,None,0,✗,"{'000': 43, '010': 9, '111': 16, '100': 14, '001': 3, '110': 7, '101': 4, '011': 4}"
FK12,malicious,0.1,circuit3928.qasm,5,1,1,✓,"{'000': 20, '011': 22, '111': 53, '100': 5}"
FK12,malicious,0.1,circuit0354.qasm,2,0,0,✓,"{'000': 51, '100': 21, '011': 6, '001': 7, '111': 10, '110': 2, '101': 2, '010': 1}"
FK12,malicious,0.1,circuit5594.qasm,5,None,1,✗,"{'101': 17, '110': 35, '000': 18, '010': 11, '011': 13, '001': 3, '100': 3}"
FK12,malicious,0.1,circuit3927.qasm,7,None,1,✗,"{'001': 7, '110': 2, '011': 31, '000': 6, '101': 49, '111': 4, '010': 1}"
FK12,malicious,0.1,circuit5377.qasm,3,None,0,✗,"{'100': 8, '011': 40, '001': 2, '111': 23, '010': 8, '000': 8, '101': 10, '110': 1}"
FK12,malicious,0.1,circuit4065.qasm,7,None,0,✗,"{'011': 26, '010': 26, '101': 13, '100': 8, '111': 15, '110': 8, '001': 3, '000': 1}"
FK12,malicious,0.1,circuit0338.qasm,11,None,0,✗,"{'111': 10, '011': 23, '110': 10, '101': 12, '000': 27, '100': 11, '010': 6, '001': 1}"
FK12,malicious,0.1,circuit9699.qasm,4,1,1,✓,"{'011': 4, '000': 10, '111': 60, '100': 5, '001': 13, '010': 2, '110': 5, '101': 1}"
FK12,malicious,0.1,circuit2149.qasm,5,1,1,✓,"{'000': 28, '100': 54, '111': 7, '011': 11}"
FK12,malicious,0.1,circuit6984.qasm,5,1,1,✓,"{'110': 57, '001': 10, '000': 12, '010': 15, '111': 2, '100': 3, '011': 1}"
FK12,malicious,0.1,circuit9745.qasm,2,None,1,✗,"{'011': 29, '111': 16, '100': 3, '101': 42, '000': 1, '001': 5, '110': 3, '010': 1}"
FK12,malicious,0.1,circuit7117.qasm,4,None,1,✗,"{'111': 44, '000': 14, '011': 11, '110': 4, '101': 2, '001': 19, '100': 5, '010': 1}"
FK12,malicious,0.1,circuit4800.qasm,5,None,1,✗,"{'110': 27, '001': 9, '011': 11, '101': 31, '010': 12, '000': 6, '111': 3, '100': 1}"
FK12,malicious,0.1,circuit7303.qasm,9,0,0,✓,"{'001': 52, '101': 24, '011': 9, '111': 15}"
FK12,malicious,0.1,circuit2890.qasm,2,None,0,✗,"{'101': 27, '100': 3, '001': 49, '010': 2, '111': 15, '011': 2, '110': 2}"
FK12,malicious,0.1,circuit8792.qasm,3,None,0,✗,"{'010': 3, '001': 48, '111': 7, '101': 14, '100': 1, '110': 19, '000': 5, '011': 3}"
FK12,malicious,0.1,circuit7116.qasm,8,None,0,✗,"{'011': 20, '110': 15, '000': 16, '111': 18, '010': 17, '001': 11, '101': 2, '100': 1}"
FK12,malicious,0.1,circuit3701.qasm,5,None,1,✗,"{'101': 7, '100': 23, '111': 28, '010': 8, '001': 11, '011': 7, '000': 13, '110': 3}"
FK12,malicious,0.1,circuit2235.qasm,7,None,0,✗,"{'001': 37, '010': 11, '111': 20, '110': 6, '100': 8, '101': 5, '000': 10, '011': 3}"
FK12,malicious,0.1,circuit2994.qasm,5,None,1,✗,"{'101': 43, '110': 20, '010': 16, '001': 12, '011': 2, '100': 2, '111': 3, '000': 2}"
FK12,malicious,0.1,circuit6300.qasm,3,None,1,✗,"{'101': 30, '000': 8, '110': 34, '111': 2, '011': 18, '100': 4, '010': 4}"
FK12,malicious,0.1,circuit3915.qasm,2,None,1,✗,"{'110': 27, '010': 15, '101': 3, '100': 26, '000': 18, '111': 4, '011': 3, '001': 4}"
FK12,malicious,0.1,circuit2758.qasm,5,None,0,✗,"{'000': 48, '001': 4, '100': 13, '111': 17, '011': 5, '110': 11, '101': 1, '010': 1}"
FK12,malicious,0.1,circuit4577.qasm,7,None,1,✗,"{'001': 26, '011': 4, '110': 5, '101': 2, '111': 36, '010': 10, '000': 6, '100': 11}"
FK12,malicious,0.1,circuit2912.qasm,7,None,0,✗,"{'110': 26, '000': 46, '111': 7, '001': 12, '100': 7, '010': 2}"
FK12,malicious,0.1,circuit5951.qasm,5,None,0,✗,"{'000': 23, '110': 17, '100': 5, '011': 24, '001': 6, '111': 8, '010': 4, '101': 13}"
FK12,malicious,0.1,circuit3825.qasm,5,None,1,✗,"{'110': 6, '011': 14, '100': 19, '000': 8, '101': 28, '001': 12, '010': 11, '111': 2}"
FK12,malicious,0.1,circuit2468.qasm,7,1,1,✓,"{'011': 34, '111': 58, '010': 2, '110': 6}"
FK12,malicious,0.1,circuit8166.qasm,3,None,0,✗,"{'000': 40, '111': 6, '100': 30, '101': 1, '010': 11, '011': 5, '110': 6, '001': 1}"
FK12,malicious,0.1,circuit0453.qasm,7,None,0,✗,"{'111': 10, '011': 34, '101': 17, '001': 23, '010': 6, '000': 4, '110': 4, '100': 2}"
FK12,malicious,0.1,circuit5996.qasm,3,None,1,✗,"{'111': 3, '010': 17, '110': 19, '100': 25, '101': 6, '011': 3, '000': 22, '001': 5}"
FK12,malicious,0.1,circuit6162.qasm,4,None,1,✗,"{'001': 29, '110': 37, '010': 4, '000': 9, '111': 14, '101': 4, '011': 2, '100': 1}"
FK12,malicious,0.1,circuit5293.qasm,10,1,1,✓,"{'100': 51, '111': 14, '000': 22, '011': 13}"
FK12,malicious,0.1,circuit9009.qasm,10,0,0,✓,"{'001': 52, '110': 15, '010': 7, '101': 12, '111': 9, '000': 3, '011': 1, '100': 1}"
FK12,malicious,0.1,circuit4361.qasm,5,0,0,✓,"{'111': 22, '000': 55, '100': 22, '011': 1}"
FK12,malicious,0.1,circuit7892.qasm,2,None,1,✗,"{'101': 48, '001': 20, '011': 7, '111': 3, '010': 16, '110': 4, '000': 1, '100': 1}"
FK12,malicious,0.1,circuit5525.qasm,5,None,1,✗,"{'010': 23, '100': 29, '000': 22, '110': 26}"
FK12,malicious,0.1,circuit0138.qasm,3,1,1,✓,"{'000': 36, '110': 56, '010': 5, '100': 3}"
FK12,malicious,0.1,circuit6783.qasm,4,None,0,✗,"{'011': 6, '001': 26, '010': 3, '000': 22, '101': 12, '100': 11, '111': 16, '110': 4}"
FK12,malicious,0.1,circuit7085.qasm,8,None,0,✗,"{'111': 31, '100': 20, '011': 42, '000': 7}"
FK12,malicious,0.1,circuit2788.qasm,6,None,1,✗,"{'110': 46, '001': 15, '010': 23, '111': 8, '000': 2, '011': 1, '101': 4, '100': 1}"
FK12,malicious,0.1,circuit4214.qasm,3,1,1,✓,"{'010': 24, '101': 55, '001': 4, '100': 7, '011': 5, '110': 5}"
FK12,malicious,0.1,circuit4346.qasm,1,1,1,✓,"{'111': 51, '011': 22, '100': 11, '000': 16}"
FK12,malicious,0.1,circuit8996.qasm,8,None,0,✗,"{'011': 28, '101': 11, '001': 30, '110': 11, '100': 6, '111': 6, '010': 5, '000': 3}"
FK12,malicious,0.1,circuit4963.qasm,3,0,0,✓,"{'101': 23, '010': 54, '001': 5, '000': 8, '110': 7, '111': 2, '011': 1}"
FK12,malicious,0.1,circuit2069.qasm,8,None,1,✗,"{'111': 3, '101': 6, '100': 46, '011': 19, '000': 17, '010': 5, '001': 3, '110': 1}"
FK12,malicious,0.1,circuit8043.qasm,5,None,1,✗,"{'110': 45, '010': 23, '001': 9, '000': 11, '100': 6, '101': 6}"
FK12,malicious,0.1,circuit6756.qasm,7,None,0,✗,"{'010': 32, '011': 9, '000': 8, '001': 9, '111': 7, '110': 22, '100': 11, '101': 2}"
FK12,malicious,0.1,circuit7253.qasm,4,1,1,✓,"{'110': 58, '000': 25, '101': 9, '010': 4, '001': 1, '100': 1, '011': 2}"
FK12,malicious,0.1,circuit5450.qasm,4,0,0,✓,"{'011': 59, '111': 21, '100': 13, '000': 7}"
FK12,malicious,0.1,circuit7443.qasm,2,None,0,✗,"{'010': 42, '101': 19, '110': 13, '011': 6, '100': 14, '000': 4, '111': 1, '001': 1}"
FK12,malicious,0.1,circuit1112.qasm,2,1,1,✓,"{'100': 57, '011': 15, '101': 3, '000': 12, '110': 5, '010': 4, '001': 2, '111': 2}"
FK12,malicious,0.1,circuit6034.qasm,5,1,1,✓,"{'111': 58, '011': 42}"
FK12,malicious,0.2,circuit5463.qasm,9,0,0,✓,"{'011': 52, '000': 4, '100': 28, '111': 16}"
FK12,malicious,0.2,circuit8843.qasm,7,1,1,✓,"{'100': 51, '011': 18, '000': 22, '111': 9}"
FK12,malicious,0.2,circuit3966.qasm,7,None,1,✗,"{'001': 48, '000': 4, '101': 41, '100': 7}"
FK12,malicious,0.2,circuit2875.qasm,8,None,1,✗,"{'011': 14, '101': 21, '111': 24, '001': 9, '010': 4, '110': 11, '100': 15, '000': 2}"
FK12,malicious,0.2,circuit5231.qasm,11,0,0,✓,"{'001': 52, '000': 10, '100': 6, '101': 32}"
FK12,malicious,0.2,circuit6764.qasm,14,None,0,✗,"{'000': 41, '100': 34, '111': 17, '011': 8}"
FK12,malicious,0.2,circuit9797.qasm,20,0,0,✓,"{'000': 56, '010': 9, '110': 25, '100': 10}"
FK12,malicious,0.2,circuit3874.qasm,9,None,1,✗,"{'100': 2, '110': 39, '001': 18, '111': 4, '010': 19, '000': 11, '101': 6, '011': 1}"
FK12,malicious,0.2,circuit9941.qasm,10,None,0,✗,"{'010': 35, '001': 8, '111': 11, '100': 17, '101': 4, '110': 6, '011': 13, '000': 6}"
FK12,malicious,0.2,circuit2569.qasm,13,None,1,✗,"{'111': 44, '001': 12, '011': 12, '000': 16, '101': 8, '110': 5, '100': 1, '010': 2}"
FK12,malicious,0.2,circuit8872.qasm,17,None,0,✗,"{'000': 37, '100': 16, '010': 16, '110': 31}"
FK12,malicious,0.2,circuit0970.qasm,9,None,0,✗,"{'010': 41, '110': 19, '000': 19, '111': 2, '001': 7, '011': 4, '100': 4, '101': 4}"
FK12,malicious,0.2,circuit0389.qasm,7,1,1,✓,"{'110': 52, '000': 29, '010': 12, '101': 1, '001': 2, '100': 4}"
FK12,malicious,0.2,circuit9534.qasm,13,None,1,✗,"{'110': 17, '101': 11, '001': 19, '111': 17, '000': 14, '010': 7, '100': 14, '011': 1}"
FK12,malicious,0.2,circuit7354.qasm,14,None,1,✗,"{'110': 49, '111': 6, '010': 37, '011': 8}"
FK12,malicious,0.2,circuit6467.qasm,10,None,1,✗,"{'100': 13, '000': 12, '011': 9, '001': 15, '111': 13, '010': 12, '110': 14, '101': 12}"
FK12,malicious,0.2,circuit0874.qasm,9,None,0,✗,"{'000': 30, '100': 16, '110': 8, '001': 18, '111': 13, '010': 4, '011': 4, '101': 7}"
FK12,malicious,0.2,circuit2595.qasm,10,0,0,✓,"{'001': 5, '100': 17, '000': 4, '011': 53, '111': 14, '101': 6, '010': 1}"
FK12,malicious,0.2,circuit0736.qasm,10,None,0,✗,"{'110': 6, '111': 16, '010': 7, '000': 28, '101': 10, '011': 24, '001': 2, '100': 7}"
FK12,malicious,0.2,circuit7844.qasm,10,None,1,✗,"{'111': 2, '100': 11, '011': 14, '000': 16, '110': 22, '101': 24, '010': 6, '001': 5}"
FK12,malicious,0.2,circuit9496.qasm,12,None,1,✗,"{'011': 18, '111': 37, '000': 18, '101': 4, '001': 17, '010': 1, '100': 3, '110': 2}"
FK12,malicious,0.2,circuit7404.qasm,8,None,1,✗,"{'011': 26, '111': 46, '000': 20, '100': 8}"
FK12,malicious,0.2,circuit1761.qasm,15,None,1,✗,"{'011': 23, '001': 22, '111': 8, '101': 47}"
FK12,malicious,0.2,circuit0614.qasm,11,None,1,✗,"{'000': 2, '101': 10, '110': 49, '001': 11, '111': 5, '010': 23}"
FK12,malicious,0.2,circuit3217.qasm,12,None,1,✗,"{'011': 26, '111': 46, '110': 4, '000': 14, '100': 7, '101': 3}"
FK12,malicious,0.2,circuit6682.qasm,13,None,1,✗,"{'111': 48, '000': 17, '100': 4, '011': 31}"
FK12,malicious,0.2,circuit4894.qasm,8,0,0,✓,"{'010': 53, '110': 26, '101': 13, '001': 8}"
FK12,malicious,0.2,circuit9992.qasm,8,None,0,✗,"{'110': 11, '001': 9, '010': 17, '111': 8, '101': 9, '000': 14, '011': 16, '100': 16}"
FK12,malicious,0.2,circuit7338.qasm,5,None,1,✗,"{'010': 22, '011': 18, '111': 32, '000': 6, '100': 15, '110': 3, '001': 4}"
FK12,malicious,0.2,circuit1233.qasm,10,None,0,✗,"{'010': 19, '011': 32, '100': 11, '111': 12, '110': 12, '001': 5, '000': 4, '101': 5}"
FK12,malicious,0.2,circuit9978.qasm,12,None,1,✗,"{'111': 46, '011': 15, '001': 21, '101': 6, '110': 2, '100': 5, '010': 5}"
FK12,malicious,0.2,circuit1952.qasm,3,None,1,✗,"{'111': 41, '011': 30, '010': 14, '110': 15}"
FK12,malicious,0.2,circuit8928.qasm,7,None,0,✗,"{'110': 13, '001': 49, '111': 16, '010': 5, '000': 4, '101': 10, '011': 3}"
FK12,malicious,0.2,circuit8080.qasm,6,None,1,✗,"{'001': 11, '100': 2, '111': 19, '110': 30, '101': 5, '000': 9, '010': 16, '011': 8}"
FK12,malicious,0.2,circuit5723.qasm,7,None,1,✗,"{'000': 5, '101': 33, '011': 11, '010': 11, '110': 6, '111': 17, '001': 17}"
FK12,malicious,0.2,circuit4013.qasm,10,None,0,✗,"{'100': 15, '110': 14, '001': 17, '000': 7, '101': 10, '010': 19, '011': 9, '111': 9}"
FK12,malicious,0.2,circuit3926.qasm,10,None,0,✗,"{'111': 35, '011': 46, '000': 13, '100': 6}"
FK12,malicious,0.2,circuit6073.qasm,12,1,1,✓,"{'101': 50, '011': 10, '001': 27, '110': 4, '010': 3, '111': 3, '000': 2, '100': 1}"
FK12,malicious,0.2,circuit2622.qasm,15,None,0,✗,"{'101': 25, '111': 11, '010': 10, '001': 39, '110': 5, '011': 8, '100': 2}"
FK12,malicious,0.2,circuit4617.qasm,12,None,1,✗,"{'101': 27, '100': 30, '001': 15, '010': 5, '111': 4, '110': 3, '000': 10, '011': 6}"
FK12,malicious,0.2,circuit4460.qasm,10,0,0,✓,"{'111': 16, '100': 18, '000': 60, '011': 6}"
FK12,malicious,0.2,circuit3513.qasm,12,None,1,✗,"{'101': 6, '111': 23, '011': 17, '100': 22, '001': 5, '010': 1, '000': 20, '110': 6}"
FK12,malicious,0.2,circuit5351.qasm,14,None,0,✗,"{'010': 36, '110': 28, '101': 14, '011': 9, '001': 6, '111': 4, '000': 1, '100': 2}"
FK12,malicious,0.2,circuit5990.qasm,14,None,1,✗,"{'010': 20, '110': 41, '100': 6, '111': 11, '001': 14, '101': 6, '000': 1, '011': 1}"
FK12,malicious,0.2,circuit3406.qasm,16,None,0,✗,"{'110': 19, '010': 18, '101': 10, '100': 11, '001': 21, '111': 6, '000': 9, '011': 6}"
FK12,malicious,0.2,circuit7046.qasm,17,None,0,✗,"{'111': 26, '101': 9, '011': 44, '001': 2, '000': 7, '100': 10, '010': 1, '110': 1}"
FK12,malicious,0.2,circuit5794.qasm,12,None,0,✗,"{'000': 40, '011': 7, '010': 5, '001': 6, '101': 3, '111': 7, '110': 12, '100': 20}"
FK12,malicious,0.2,circuit3928.qasm,13,None,1,✗,"{'011': 27, '000': 16, '111': 49, '100': 8}"
FK12,malicious,0.2,circuit0354.qasm,12,None,0,✗,"{'000': 37, '100': 29, '011': 10, '111': 12, '001': 5, '101': 5, '010': 1, '110': 1}"
FK12,malicious,0.2,circuit5594.qasm,11,None,1,✗,"{'101': 15, '000': 28, '110': 41, '100': 5, '111': 2, '010': 5, '011': 3, '001': 1}"
FK12,malicious,0.2,circuit3927.qasm,8,None,1,✗,"{'111': 5, '101': 40, '100': 2, '110': 7, '011': 30, '001': 13, '000': 2, '010': 1}"
FK12,malicious,0.2,circuit5377.qasm,8,None,0,✗,"{'111': 20, '000': 3, '110': 8, '011': 35, '001': 6, '100': 11, '010': 8, '101': 9}"
FK12,malicious,0.2,circuit4065.qasm,13,None,0,✗,"{'000': 7, '111': 12, '010': 20, '110': 19, '011': 23, '101': 10, '001': 2, '100': 7}"
FK12,malicious,0.2,circuit0338.qasm,5,None,0,✗,"{'011': 27, '101': 14, '000': 16, '111': 14, '110': 6, '010': 5, '100': 15, '001': 3}"
FK12,malicious,0.2,circuit9699.qasm,9,None,1,✗,"{'000': 15, '110': 5, '111': 49, '001': 10, '011': 14, '101': 3, '100': 3, '010': 1}"
FK12,malicious,0.2,circuit2149.qasm,9,None,1,✗,"{'000': 33, '100': 40, '111': 11, '011': 16}"
FK12,malicious,0.2,circuit6984.qasm,12,None,1,✗,"{'110': 35, '000': 11, '101': 2, '010': 41, '100': 3, '001': 5, '111': 3}"
FK12,malicious,0.2,circuit9745.qasm,10,None,1,✗,"{'101': 33, '011': 20, '001': 17, '110': 6, '010': 3, '111': 12, '000': 7, '100': 2}"
FK12,malicious,0.2,circuit7117.qasm,11,None,1,✗,"{'000': 9, '111': 47, '101': 6, '001': 15, '110': 5, '011': 13, '100': 4, '010': 1}"
FK12,malicious,0.2,circuit4800.qasm,17,None,1,✗,"{'010': 17, '000': 10, '001': 11, '101': 19, '110': 28, '011': 8, '100': 5, '111': 2}"
FK12,malicious,0.2,circuit7303.qasm,9,0,0,✓,"{'101': 27, '001': 51, '111': 14, '011': 8}"
FK12,malicious,0.2,circuit2890.qasm,11,None,0,✗,"{'111': 16, '101': 25, '001': 49, '010': 4, '110': 3, '011': 3}"
FK12,malicious,0.2,circuit8792.qasm,10,None,0,✗,"{'001': 46, '010': 4, '101': 21, '111': 6, '110': 17, '000': 2, '011': 3, '100': 1}"
FK12,malicious,0.2,circuit7116.qasm,9,None,0,✗,"{'011': 17, '101': 5, '010': 16, '000': 11, '111': 16, '110': 23, '001': 9, '100': 3}"
FK12,malicious,0.2,circuit3701.qasm,12,None,1,✗,"{'000': 16, '111': 29, '100': 25, '001': 9, '110': 3, '011': 12, '010': 4, '101': 2}"
FK12,malicious,0.2,circuit2235.qasm,11,None,0,✗,"{'001': 31, '111': 21, '011': 9, '010': 10, '101': 10, '110': 8, '000': 6, '100': 5}"
FK12,malicious,0.2,circuit2994.qasm,16,None,1,✗,"{'010': 14, '101': 37, '111': 2, '001': 24, '110': 17, '100': 3, '000': 2, '011': 1}"
FK12,malicious,0.2,circuit6300.qasm,11,None,1,✗,"{'011': 9, '110': 30, '010': 9, '000': 14, '101': 26, '001': 7, '111': 2, '100': 3}"
FK12,malicious,0.2,circuit3915.qasm,7,None,1,✗,"{'100': 18, '110': 29, '011': 4, '000': 22, '111': 7, '101': 3, '010': 14, '001': 3}"
FK12,malicious,0.2,circuit2758.qasm,7,0,0,✓,"{'110': 10, '111': 10, '000': 57, '100': 17, '001': 2, '011': 2, '010': 2}"
FK12,malicious,0.2,circuit4577.qasm,7,None,1,✗,"{'001': 19, '110': 12, '111': 31, '011': 11, '101': 3, '100': 10, '010': 9, '000': 5}"
FK12,malicious,0.2,circuit2912.qasm,14,None,0,✗,"{'000': 40, '110': 28, '100': 14, '010': 3, '111': 5, '001': 7, '011': 2, '101': 1}"
FK12,malicious,0.2,circuit5951.qasm,12,None,0,✗,"{'000': 18, '110': 14, '111': 9, '011': 23, '010': 5, '100': 8, '001': 7, '101': 16}"
FK12,malicious,0.2,circuit3825.qasm,6,None,1,✗,"{'100': 21, '001': 10, '000': 13, '101': 24, '110': 4, '010': 16, '111': 6, '011': 6}"
FK12,malicious,0.2,circuit2468.qasm,7,None,1,✗,"{'111': 49, '110': 6, '011': 44, '010': 1}"
FK12,malicious,0.2,circuit8166.qasm,8,None,0,✗,"{'100': 29, '000': 39, '011': 9, '010': 13, '111': 4, '110': 4, '101': 1, '001': 1}"
FK12,malicious,0.2,circuit0453.qasm,13,None,0,✗,"{'011': 23, '101': 17, '001': 26, '000': 6, '010': 3, '111': 23, '100': 1, '110': 1}"
FK12,malicious,0.2,circuit5996.qasm,12,None,1,✗,"{'000': 19, '010': 14, '110': 21, '011': 4, '100': 27, '001': 5, '111': 6, '101': 4}"
FK12,malicious,0.2,circuit6162.qasm,13,None,1,✗,"{'110': 36, '001': 22, '010': 11, '111': 17, '000': 6, '101': 5, '011': 1, '100': 2}"
FK12,malicious,0.2,circuit5293.qasm,5,None,1,✗,"{'111': 12, '011': 24, '100': 42, '000': 22}"
FK12,malicious,0.2,circuit9009.qasm,10,None,0,✗,"{'011': 3, '000': 2, '111': 9, '001': 40, '110': 17, '101': 17, '100': 1, '010': 11}"
FK12,malicious,0.2,circuit4361.qasm,12,None,0,✗,"{'100': 27, '000': 46, '111': 17, '011': 10}"
FK12,malicious,0.2,circuit7892.qasm,13,None,1,✗,"{'001': 17, '101': 49, '011': 8, '110': 4, '010': 15, '111': 3, '100': 4}"
FK12,malicious,0.2,circuit5525.qasm,13,None,1,✗,"{'010': 28, '110': 29, '000': 20, '100': 23}"
FK12,malicious,0.2,circuit0138.qasm,15,None,1,✗,"{'100': 10, '110': 47, '000': 27, '010': 16}"
